DateTime;Load;PV;EV;P_loss;T_set
2021-06-21 20:15:00;6.901256808399741e-05;0.0010208253660207;1.0;0.3972638420731895;21.5
2021-06-21 20:30:00;6.819585130193822e-05;0.0;1.0;0.38085693178106267;21.5
2021-06-21 20:45:00;4.696121496840061e-05;0.0;1.0;0.36592141717828497;21.5
2021-06-21 21:00:00;4.410270623119361e-05;0.0;1.0;0.36621849012630053;21.5
2021-06-21 21:15:00;4.165255588501617e-05;0.0;1.0;0.3642589814639594;19.1
2021-06-21 21:30:00;4.451106462222316e-05;0.0;1.0;0.3616523409475027;21.5
2021-06-21 21:45:00;4.246927266707532e-05;0.0;1.0;0.3590423766976329;21.5
2021-06-21 22:00:00;4.206091427604574e-05;0.0;0.0;0.37070369750283855;21.5
2021-06-21 22:15:00;4.124419749398661e-05;0.0;0.0;0.37882739162758466;20.3
2021-06-21 22:30:00;4.001912232089789e-05;0.0;0.0;0.38518896552642207;15.5
2021-06-21 22:45:00;3.450628404199871e-05;0.0;0.0;0.3905605014672405;15.5
2021-06-21 23:00:00;0.0003154568570702;0.0;0.0;0.40443182229176394;15.5
2021-06-21 23:15:00;0.0003409792565096;0.0;0.0;0.4151804260260578;15.5
2021-06-21 23:30:00;0.0003440419444423;0.0;0.0;0.42405577759497887;15.5
2021-06-21 23:45:00;0.0003430210484646;0.0;0.0;0.43163911076618794;15.5
2021-06-22 00:00:00;0.0003562926961731;0.0;0.0;0.44743191228223056;15.5
2021-06-22 00:15:00;0.000354250904218;0.0;0.0;0.45986337714387876;15.5
2021-06-22 00:30:00;0.0003430210484646;0.0;0.0;0.47020552312011715;15.5
2021-06-22 00:45:00;0.0003368956725992;0.0;0.0;0.47906096583140273;15.5
2021-06-22 01:00:00;0.000339958360532;0.0;0.0;0.49127676134354886;15.5
2021-06-22 01:15:00;0.000339958360532;0.0;0.0;0.5011335993404303;15.5
2021-06-22 01:30:00;0.0003450628404199;0.0;0.0;0.5093387841333782;15.5
2021-06-22 01:45:00;0.0003532300082404;0.0;0.0;0.5162571564414714;15.5
2021-06-22 02:00:00;0.000354250904218;0.0;0.0;0.530470608751084;15.5
2021-06-22 02:15:00;0.0003460837363974;0.0;0.0;0.5415558624047848;15.5
2021-06-22 02:30:00;0.0003430210484646;0.0;0.0;0.550670624938977;15.5
2021-06-22 02:45:00;0.0003430210484646;0.0;0.0;0.558367838846555;15.5
2021-06-22 03:00:00;0.0003430210484646;0.0;0.0;0.5775532001122872;15.5
2021-06-22 03:15:00;0.0003460837363974;0.0;0.0;0.5925063317273178;15.5
2021-06-22 03:30:00;0.0003552718001956;0.0;0.0;0.6048563751794135;15.5
2021-06-22 03:45:00;0.0003491464243301;0.0;0.0;0.6153969374305096;15.5
2021-06-22 04:00:00;0.0003430210484646;0.0;0.0;0.6230246478128927;15.5
2021-06-22 04:15:00;0.0003430210484646;0.0;0.0;0.8669614988618647;20.7
2021-06-22 04:30:00;0.0003430210484646;0.0064114535232149;0.0;1.4491993729177068;17.1
2021-06-22 04:45:00;0.000347104632375;0.0173755147121769;0.0;1.4344444517742951;15.5
2021-06-22 05:00:00;6.084540026340598e-05;0.028339575901139;0.0;1.3574353694510444;15.5
2021-06-22 05:15:00;3.889613674556657e-05;0.039303637090101;0.0;1.2972380903818233;19.1
2021-06-22 05:30:00;2.7564191394496e-05;0.0403698059305331;0.0;1.2433482297722358;18.3
2021-06-22 05:45:00;2.7768370590010785e-05;0.0343978172893041;0.0;1.19429728041441;19.1
2021-06-22 06:00:00;2.8687176969827307e-05;0.0284258286480751;0.0;1.0713637563568958;19.9
2021-06-22 06:15:00;2.8380908176555144e-05;0.0224538400068462;0.0;1.0271968674522178;18.3
2021-06-22 06:30:00;3.828359915902225e-05;0.0212023137075843;0.0;1.0027717409950287;21.5
2021-06-22 06:45:00;9.963944741112171e-05;0.0233121330517439;0.0;1.4257285192063538;21.5
2021-06-22 07:00:00;0.0005621665790099;0.0254219523959035;0.0;1.4060336406006682;19.1
2021-06-22 07:15:00;0.0003858986795228;0.0275317717400631;0.0;1.3182298230570828;15.5
2021-06-22 07:30:00;0.0003583344881284;0.0321864901966449;0.0;1.2450159530558753;19.1
2021-06-22 07:45:00;0.0003358747766217;0.0386559362424803;0.0;1.1787258482945093;21.5
2021-06-22 08:00:00;0.0003562926961731;0.0451253822883156;0.0;1.0452156574491642;21.5
2021-06-22 08:15:00;0.0002633911622139;0.0515948283341509;0.0;0.9686383119442286;21.5
2021-06-22 08:30:00;5.717017474413988e-05;0.0567006937983451;0.0;0.9036842720097346;21.5
2021-06-22 08:45:00;7.023764325708608e-05;0.0608328399783164;0.0;0.8450310197394324;21.5
2021-06-22 09:00:00;7.881316946870706e-05;0.0649649861582878;0.0;0.7363300956331389;21.5
2021-06-22 09:15:00;6.697077612884953e-05;0.0690971323382591;0.0;0.6569839484409322;21.5
